 surface  401.3                                                                                                                        
      energy   
    1.0867E-02   6.47063E-11 0.7084
    1.0936E-02   3.44120E-11 1.0000
    1.1005E-02   6.06670E-11 0.7135
    1.1074E-02   1.26873E-10 0.5023
    1.1143E-02   2.62360E-11 1.0000
    1.1212E-02   3.43058E-11 1.0000
    1.1281E-02   1.28910E-10 0.5010
    1.1350E-02   1.34692E-10 0.4579
    1.1419E-02   1.26960E-10 0.5006
    1.1488E-02   6.72804E-11 0.7072
    1.1557E-02   9.18019E-11 0.5816
    1.1626E-02   8.92540E-11 0.5823
    1.1695E-02   3.20261E-11 1.0000
    1.1764E-02   3.10184E-11 1.0000
    1.1833E-02   3.19143E-11 1.0000
    1.1902E-02   1.91187E-11 1.0000
    1.1971E-02   3.00434E-11 1.0000
    1.2040E-02   5.23950E-11 0.7311
    1.2109E-02   0.00000E+00 0.0000
    1.2178E-02   1.25912E-10 0.5003
    1.2247E-02   6.37412E-11 0.7071
    1.2316E-02   9.75795E-11 0.5774
    1.2385E-02   8.90065E-11 0.5847
    1.2454E-02   6.57581E-11 0.7071
    1.2523E-02   9.76624E-11 0.5774
    1.2592E-02   0.00000E+00 0.0000
    1.2661E-02   8.10644E-11 0.5816
    1.2730E-02   1.73117E-11 1.0000
    1.2799E-02   0.00000E+00 0.0000
    1.2868E-02   3.07306E-11 1.0000
    1.2937E-02   1.38478E-10 0.4581
    1.3006E-02   5.36149E-11 0.7191
    1.3075E-02   7.91911E-11 0.5856
    1.3144E-02   2.74163E-11 1.0000
    1.3213E-02   1.35507E-10 0.6575
    1.3282E-02   3.17453E-11 1.0000
    1.3351E-02   1.22151E-10 0.5003
    1.3420E-02   6.14398E-11 0.7074
    1.3489E-02   2.08759E-11 1.0000
    1.3558E-02   8.24204E-11 0.5946
    1.3627E-02   0.00000E+00 0.0000
    1.3696E-02   0.00000E+00 0.0000
    1.3765E-02   6.05890E-11 0.7078
    1.3834E-02   3.27403E-11 1.0000
    1.3903E-02   5.49865E-11 0.7152
